"dataset1","dataset2","distance"
cmc,user-knowledge,5.94912786483144
cmc,vehicle,4.411096834522374
cmc,vertebra-column,5.852629974537612
cmc,volcanoes-a1,4.902537687119671
cmc,volcanoes-a3,5.471184871694863
cmc,volcanoes-a4,4.974354270022224
cmc,volcanoes-d1,9.62745382024416
cmc,wall-robot-navigation,4.889339708495894
cmc,waveform-5000,6.6344406113157826
cmc,wine-quality-white,7.387618174377773
cmc,wine,6.2029456516483386
cmc,zoo,7.465512827164545
cnae-9,abalone,8.228145000027299
cnae-9,artificial-characters,11.049869432367501
cnae-9,balance-scale,7.686118428032272
cnae-9,breast-tissue,6.991245497532087
cnae-9,car,7.57687882215834
cnae-9,cardiotocography,7.278785509676498
cnae-9,cmc,8.126608690465037
cnae-9,cnae-9,0.0
cnae-9,collins,7.6887168349292905
cnae-9,covertype,10.979611238503404
cnae-9,desharnais,7.772654937812678
cnae-9,diggle_table_a2,8.691001635866206
cnae-9,ecoli,7.653428210886286
cnae-9,energy-efficiency,10.28629982788978
cnae-9,eye_movements,10.704323847790075
cnae-9,fabert,10.35240675848471
cnae-9,fars,10.964229325884055
cnae-9,fashion-mnist,11.03531068206306
cnae-9,gas-drift-different-concentrations,8.632557785142236
cnae-9,gas-drift,8.663918628125469
cnae-9,gina_prior2,10.4216639370573
cnae-9,glass,7.019874884183341
cnae-9,har,9.884124532034242
cnae-9,hayes-roth,6.372829180538266
cnae-9,heart-long-beach,7.756726573440475
cnae-9,heart-switzerland,7.695837647519336
cnae-9,helena,10.964282631975173
cnae-9,indian_pines,10.176464345860039
cnae-9,iris,9.115505767114668
cnae-9,jannis,10.993699082297221
cnae-9,japanesevowels,9.503020373655803
cnae-9,jungle_chess_2pcs_endgame_panther_elephant,8.48853161654139
cnae-9,jungle_chess_2pcs_raw_endgame_complete,10.364483835361318
cnae-9,leaf,9.30165742182517
cnae-9,led-display-domain-7digit,8.517040175131612
cnae-9,mfeat-factors,7.665527204344548
cnae-9,mfeat-fourier,7.744166143209279
cnae-9,mfeat-karhunen,7.7593478888307015
cnae-9,mfeat-morphological,7.929429251826055
cnae-9,mfeat-pixel,7.044932217406776
cnae-9,microaggregation2,9.99228605843086
cnae-9,nursery,9.001775257676536
cnae-9,page-blocks,9.563493128198841
cnae-9,pokerhand,10.980412249989195
cnae-9,popularkids,7.596510636935457
cnae-9,prnn_fglass,7.019874884183345
cnae-9,prnn_viruses,6.97383710229358
cnae-9,rmftsa_sleepdata,6.5582897000711355
cnae-9,robot-failures-lp1,7.202783483283242
cnae-9,robot-failures-lp5,7.596247867600252
cnae-9,satimage,9.6433997024418
cnae-9,seeds,7.3494003455288786
cnae-9,segment,7.596690280158027
cnae-9,seismic-bumps,7.3494003455288786
cnae-9,semeion,7.661317110195191
cnae-9,shuttle,10.975779089146458
cnae-9,spectrometer,7.393620329177494
cnae-9,steel-plates-fault,7.5478339534537735
cnae-9,synthetic_control,7.644812146526034
cnae-9,tae,7.899986897381527
cnae-9,tamilnadu-electricity,10.42091308121021
cnae-9,teachingassistant,6.137970578121623
cnae-9,thyroid-allbp,8.416286065403357
cnae-9,thyroid-allhyper,8.416286065403357
cnae-9,user-knowledge,7.545835682510171
cnae-9,vehicle,7.861069860444423
cnae-9,vertebra-column,7.639341529114225
cnae-9,volcanoes-a1,7.47305651421759
cnae-9,volcanoes-a3,7.677283695857756
cnae-9,volcanoes-a4,7.655976258267505
cnae-9,volcanoes-d1,10.979603826513817
cnae-9,wall-robot-navigation,7.076236888779565
cnae-9,waveform-5000,9.690533297465315
cnae-9,wine-quality-white,9.66252576365401
cnae-9,wine,6.675675542340771
cnae-9,zoo,9.664174972041845
collins,abalone,7.938857563430898
collins,artificial-characters,10.836790408685818
collins,balance-scale,6.854751829614623
collins,breast-tissue,7.042294331354903
collins,car,7.5747961932101004
collins,cardiotocography,8.098169190319304
collins,cmc,7.873638843829893
collins,cnae-9,7.6887168349292905
collins,collins,0.0
collins,covertype,10.870113442306016
collins,desharnais,7.32873505452632
collins,diggle_table_a2,8.187855399017893
collins,ecoli,8.370245790894606
